Geoposicion;Lunes;Martes;Miercoles;Jueves ;Viernes;Tipo Arsenal
Coord-01; 01-02 ;       ;         ;       ;       ; a+     
Coord-07;       ;       ;  03-06  ;       ;       ; abcd*
Coord-05;       ;       ;         ;       ; 05-10 ; abcdt+
Coord-04;       ;       ;         ; 04-08 ;       ; abcd*  
Coord-07;       ;       ;  03-06  ;       ;       ; abcd*
Coord-01; 01-02 ;       ;         ;       ;       ; a+     
Coord-01; 01-02 ;       ;         ;       ;       ; a+     
Coord-09; 01-02 ;       ;         ;       ;       ; ab*  
Coord-05;       ;       ;         ;       ; 05-10 ; abcdt+
Coord-08;       ; 02-04 ;         ;       ;       ; abc
Coord-01; 01-02 ;       ;         ;       ;       ; a+     
Coord-07;       ;       ;  03-06  ;       ;       ; abcd*
Coord-05;       ;       ;         ;       ; 05-10 ; abcdt+
Coord-01; 01-02 ;       ;         ;       ;       ; a+     
Coord-03;       ;       ; 03-06   ;       ;       ; abc  
Coord-07;       ;       ;  03-06  ;       ;       ; abcd*
Coord-05;       ;       ;         ;       ; 05-10 ; abcdt+
Coord-09; 01-02 ;       ;         ;       ;       ; ab*  
Coord-06;       ;       ;         ; 04-08 ;       ; abcdt+
Coord-03;       ;       ; 03-06   ;       ;       ; abc  
